Experiment,Generation,Mean_fit,Max_fit,Worst_fit,Var
0,0,-2.52,4.2,-5,13.6976
0,1,1.03,4.2,-4.8,14.6441
0,2,2.75,4.2,-4.4,6.4225
0,3,3.57,4.2,1,0.7481
0,4,3.57,4.2,1,0.7481
0,5,3.69,4.2,2.2,0.2609
0,6,2.8,4.2,-5,7.016
0,7,2.98,4.2,-4.8,6.7396
0,8,3.84,4.2,3.8,0.0144
0,9,3.84,4.2,3.8,0.0144
1,0,-4.16,3.4,-5,6.3504
1,1,1.28,4.1,-5,12.3596
1,2,2.77,4,-4.8,6.4281
1,3,2.67,4,-4.8,6.3281
1,4,1.91,4,-4.8,7.4349
1,5,2.69,4,-4.8,6.3869
1,6,3.01,4,-2.8,3.8709
1,7,2.81,4,-5,6.8749
1,8,2.9,4,-4.4,6.014
1,9,2.89,4.1,-2.9,4.1909
2,0,-4.87,-3.9,-5,0.1081
2,1,-4.48,-1.9,-5,0.8316
2,2,-0.14,3.8,-4.8,11.3324
2,3,1.71,3.8,-3.8,5.6349
2,4,2.69,4,-1.6,2.6369
2,5,2.16,4,-5,8.1504
2,6,2.11,4,-3.2,4.3029
2,7,2.21,3.7,-3.2,3.9989
2,8,1.43,4,-4.2,10.9681
2,9,3.59,3.8,3,0.0529
3,0,-4.13,0,-4.9,2.1581
3,1,-2.87,3.9,-4.9,7.0601
3,2,-1.26,4.1,-4.3,10.7164
3,3,0.69,4.1,-4.2,8.3549
3,4,1.71,4.1,-1.6,3.6409
3,5,3.17,4.3,-1.4,2.7341
3,6,2.69,4.3,-1.4,4.5089
3,7,3.28,4.2,-1.3,2.4316
3,8,4,4.3,3.4,0.066
3,9,3.18,4.3,-4.6,6.7856
4,0,-2.7,1.1,-5,6.94
4,1,-1.29,2.2,-4.9,8.5849
4,2,1.29,2.6,0,0.4869
4,3,1.83,3.1,1.1,0.4341
4,4,2.44,3.7,1,0.7344
4,5,2.02,3.7,-4.6,5.1016
4,6,3.12,3.8,2,0.2636
4,7,2.08,3.8,-4.9,6.0836
4,8,2.79,3.9,0,1.5489
4,9,3.23,3.9,2.2,0.3681
